Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Canada,...,...,...,...,...,...,...,...,...,...,...,"42,099.00","45,816.00","49,302.00","54,068.00","59,659.00","66,809.00","71,913.00","78,569.00","86,518.00","93,237.00","101,767.00","113,625.00","133,080.00","158,306.00","178,045.00","206,007.00","227,579.00","252,044.00","287,574.00","322,748.00","368,358.00","388,181.00","421,316.00","461,986.00","500,027.00","526,630.00","574,336.00","626,894.00","671,579.00","695,501.00","701,773.00","718,436.00","747,037.00","791,972.00","831,621.00","859,834.00","906,926.00","940,548.00","1,007,927.00","1,106,071.00","1,144,543.00","1,193,694.00","1,254,747.00","1,335,731.00","1,421,590.00","1,496,604.00","1,577,661.00","1,657,041.00","1,571,334.00","1,666,048.00","1,774,063.00","1,827,201.00","1,902,247.00","1,994,898.00","1,990,441.00","2,025,535.00","2,140,641.00","2,235,675.00","2,313,563.00","2,209,681.00","2,509,618.00","2,782,645.00"
Guatemala,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"416,383.22","447,326.33","476,022.82","502,001.70","526,507.41","551,368.08","593,972.02","600,089.44","665,567.94","736,108.98"
Mexico,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,651,777.90","1,868,526.40","2,440,392.40","3,284,161.80","4,144,914.20","5,092,988.00","6,034,995.10","7,016,603.90","7,437,107.70","7,827,758.00","8,259,533.10","9,248,389.80","9,999,599.00","11,120,115.80","12,046,753.20","12,927,761.30","12,749,117.90","13,968,149.50","15,268,436.70","16,529,124.00","16,954,005.70","18,137,650.60","19,228,614.70","20,758,790.50","22,536,210.30","24,176,670.40","25,143,134.20","24,079,804.30","26,608,701.40","29,503,758.30"
United States,"299,827.30","346,913.30","367,340.80","389,217.50","390,549.00","425,479.50","449,352.50","474,039.50","481,228.50","521,654.30","542,382.30","562,209.80","603,921.50","637,451.50","684,461.50","742,290.30","813,413.80","859,956.30","940,646.50","1,017,615.00","1,073,310.50","1,164,849.80","1,279,112.00","1,425,376.00","1,545,242.50","1,684,905.00","1,873,412.50","2,081,825.00","2,351,598.80","2,627,326.30","2,857,308.50","3,207,041.30","3,343,789.30","3,634,036.50","4,037,614.00","4,338,980.50","4,579,632.50","4,855,216.30","5,236,438.00","5,641,579.50","5,963,144.50","6,158,129.30","6,520,327.30","6,858,558.50","7,287,236.50","7,639,749.30","8,073,121.80","8,577,552.50","9,062,816.80","9,631,171.80","10,250,952.00","10,581,929.00","10,929,108.30","11,456,449.50","12,217,195.80","13,039,197.00","13,815,583.00","14,474,227.00","14,769,861.80","14,478,067.30","15,048,971.00","15,599,731.50","16,253,970.00","16,880,683.30","17,608,138.30","18,295,019.00","18,804,913.30","19,612,102.50","20,656,515.50","21,521,395.00","21,322,949.50","23,594,030.80","25,744,108.30"
